rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,NFLX,Netflix,Communication Services,Movies & Entertainment,308946305024,0.8028571428571428,0.10936007281668059,0.162,0.32303002,0.28521,0.48494998,0.3117018239938035,-0.22719865821655016,-0.4241741458987506,-0.4304809429776977,0.5421276511437905,23.667744,19.096329,buy,0.012791144908102714,0.9459113640032658,RECEIVABLES_OUTRUN
2,NEM,Newmont,Materials,Gold,101727100928,0.780357142857143,0.20093794915549212,0.458,0.61379004,0.3387,0.25832,-0.19872694096379087,-0.07781516011956635,-0.2746813379844101,0.639202823452272,0.425193290955993,12.359274,8.670365,buy,-0.06417584747634487,1.4295175023651845,
3,MSFT,Microsoft,Information Technology,Systems Software,2860690440192,0.7657142857142858,0.12973333946699617,0.183,0.46326,0.39341998,0.34013999,0.25590787540851856,-0.12617807025690198,-0.2850757944614516,-0.2290599625262848,0.45380509251279655,22.93627,19.89158,strong_buy,-0.07148813066295794,1.3587800281114235,
4,ADBE,Adobe Inc.,Information Technology,Application Software,88896897024,0.705595238095238,0.10066355892683765,0.127,0.35327998,0.28689,0.62953997,0.14914176720983538,-0.21570965674471365,-0.4002199095709975,-0.4010391652872811,0.21836505429990627,12.786736,8.123838,hold,-0.11206064782908338,1.4498547516945635,
5,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,30938535936,0.6879761904761905,0.1256456196977298,0.253,0.25439,0.13406,0.90455,2.5778467888272485,-0.16387279424016898,-0.3206694275397366,-0.039994707206889246,0.45664022275414284,17.22878,12.707839,buy,-0.06534191358461212,1.752442996742671,RECEIVABLES_OUTRUN
6,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,30554599424,0.6801190476190477,0.36172958542962785,0.499,0.57368,0.35074002,0.13402,0.7391185463046643,-0.13411430292735982,-0.27885100772612936,-0.0994465553044902,0.3936540865209288,9.269449,11.649536,buy,-0.07753474074201663,1.9607707735229363,
7,CPRT,Copart,Industrials,Diversified Support Services,26505431040,0.6772619047619047,0.0029240097628184802,0.021,0.37530997,0.33481997,0.17607,-2.093869895149809,-0.25817602347256696,-0.44926956602991175,-0.4223341559541788,0.4861918357440176,17.090061,16.349463,buy,-0.01368710049832159,1.0851312869358183,RECEIVABLES_OUTRUN
8,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,144066363392,0.6719047619047619,0.14313995112634204,0.23,0.30868,0.28152,0.17232999,-1.1625746921968294,-0.16642588957645676,-0.3138567672584285,-0.22977298199605634,0.3811953677320161,49.486618,34.509613,buy,-0.019409428599032833,1.1281259440770703,
9,VEEV,Veeva Systems,Health Care,Health Care Technology,30883719168,0.6671428571428571,0.1268279368849219,0.163,0.30932,0.28370002,0.13934,-7.026177116332947,-0.09978271283777684,-0.37913919940140817,-0.3314108703369898,0.28651691711456384,33.649555,18.94618,buy,-0.0856521611742426,1.7683634718558447,
10,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,17056129024,0.6384523809523809,0.0628819300053709,0.078,0.18402,0.15028,0.42314,1.7604291047541112,-0.21472966907242974,-0.43608362207181484,-0.3696446733748249,0.40028479209783674,15.772192,14.159183,buy,-0.03131367543387123,1.2429804634257156,
11,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,44456091648,0.6142857142857143,0.08121163664627318,0.143,0.31783,0.24634,0.72915,0.5853750121923612,-0.09959084076589986,-0.26492146305095376,0.04241268136745657,0.25830489696736825,41.5,34.108047,buy,-0.034809747747676756,1.1048708357034531,
12,VST,Vistra Corp.,Utilities,Electric Utilities,53564805120,0.6121428571428572,0.11142229404588355,0.434,0.26578,0.11525,0.42898,2.837702393633887,-0.047555199602142606,-0.2679809806730592,-0.1894151398102426,0.40305230481961996,26.609716,14.699923,strong_buy,-0.06107925970629652,2.083891120035698,
13,MA,Mastercard,Financials,Transaction & Payment Processing Services,465418944512,0.5966666666666666,0.10874276559957496,0.158,0.60836,0.45876,2.32076,0.5024558851763385,-0.001901382118471795,-0.11509551260603978,-0.06208985284123991,0.2223148269291646,30.482637,23.107487,strong_buy,-0.0534488054776603,1.1732177263969172,
14,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,20170586112,0.5858333333333333,0.0785949590838615,0.111,0.14168,0.09355,0.47449002,1.101480596440195,-0.16151681761954262,-0.3361817614879584,-0.013394442498651404,0.32903513166331333,17.573034,14.726067,buy,-0.05523347658822037,1.2992330700078056,
15,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,28054540288,0.48833333333333334,0.08368413711634015,0.065,0.39723,0.25774,0.2514,-0.3091581054736682,-0.024707055764585872,-0.26743421027941794,0.16045506560102818,0.16094412465770613,22.8924,18.02367,hold,-0.15853763571605894,2.266780017812323,
16,CME,CME Group,Financials,Financial Exchanges & Data,86815023104,0.4798809523809524,0.06425654677908521,0.144,0.69806,0.63324,0.15919,0.2559833219947284,-0.12400319448532038,-0.242512428814472,-0.09440711383116762,0.18810781588985637,20.483377,18.62463,buy,-0.0008342942168292317,1.0351497552865139,
