rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,MU,Micron Technology,Information Technology,Semiconductors,1106014765056,0.9190624999999999,1.5034538779859794,3.457,0.80370003,0.55906,0.66638,-0.287971626575836,1.1091958104308173,-0.1929112858156803,7.024147682696398,0.5174104140948395,22.126074,6.5444407,strong_buy,-0.009063145560893892,1.019081020032099,RECEIVABLES_OUTRUN
2,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",283728150528,0.8668750000000001,0.7925220938137321,2.51,0.69983,0.34185,0.39297,-0.626420465909091,1.5709232984857344,-0.17947749723969486,40.470130136495975,0.06217658008806115,65.367455,9.370103,buy,-0.008789745297153321,1.0292877745728866,
3,NVDA,Nvidia,Information Technology,Semiconductors,5109662089216,0.80546875,0.4826985537564106,0.852,0.65596,0.62966,1.14288,-0.2438343463332097,0.10180051795779432,-0.10407283245564647,0.29691176753385573,0.42975298824814345,32.25688,16.494099,strong_buy,0.1765663013869539,0.7872040497954427,"HIGH_ACCRUALS,INVENTORY_BUILD"
4,LLY,Lilly (Eli),Health Care,Pharmaceuticals,1059905929216,0.78953125,0.2835278504796257,0.555,0.49386,0.34986,1.07459,1.0517188835490778,0.1958160951381671,-0.03802332570747946,0.5211050985785168,0.04614636454696264,42.19311,26.518183,buy,0.046577861848238145,0.8102323483682601,
5,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,438112518144,0.784375,0.17608620325760094,0.238,0.35042998,0.30938998,0.66762,-0.12952183978956744,0.5369746419932591,-0.19153994085788528,2.529394963525025,0.04058577333573887,66.22495,43.346134,buy,-0.012090955348131094,1.0367333899605289,
6,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4358514933760,0.767265625,0.11324895849927707,0.218,0.36121,0.37919,0.38884997,-0.19194623940185743,0.12116632843117725,-0.11233091523913563,1.0280770099499734,0.2092222656828726,27.244852,24.513006,strong_buy,-0.023988949311155073,1.0882914710875862,
7,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4332279300096,0.762578125,0.11324895849927707,0.218,0.36121,0.37919,0.38884997,-0.19194623940185743,0.11673609743275093,-0.10975423859941147,1.0040742561653033,0.2070572387501297,27.101526,24.365454,strong_buy,-0.023988949311155073,1.0882914710875862,
8,AVGO,Broadcom,Information Technology,Semiconductors,1902889402368,0.7007812499999999,0.24720163813742557,0.479,0.48988,0.38848,0.37280998,1.0759196582890276,0.10716830080789919,-0.16813129877333455,0.4498043692526208,0.30942055254540635,66.66167,20.621496,strong_buy,-0.02504450417117526,1.146843128560221,"RECEIVABLES_OUTRUN,INVENTORY_BUILD"
9,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,302428848128,0.7,0.07736808640753545,0.115,0.41215,0.35661998,0.94975996,0.20297057561466395,0.4955762071551537,-0.23264057926655646,1.5240166260536112,-0.012581436673752777,65.40113,45.429306,buy,0.016775153951013762,0.9424221201692902,
10,APH,Amphenol,Information Technology,Electronic Components,195681091584,0.68640625,0.32031685214602934,0.584,0.27305,0.17239,0.36825,1.7336041635206965,0.14114369420086081,-0.09789025095653014,0.6306303635755415,0.16098750681781815,45.706894,27.731575,buy,-0.03892619307182648,1.28346209830926,
