rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey
1,NVDA,Nvidia,Information Technology,Semiconductors,5103122644992,0.8764480149584728,0.852,0.65596,0.62966,1.14288,-0.2438343463332097,0.11073979006356072,0.4638539048829655,0.4188247972664687,32.26493,16.551956,strong_buy
2,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",323539107840,0.8417826238204983,2.51,0.69983,0.34185,0.39297,-0.626420465909091,2.5625190637922484,48.552052448150526,-0.1983896555669985,74.615776,11.935524,buy
3,NEM,Newmont,Materials,Gold,110801305600,0.828340653128669,0.458,0.61379004,0.3387,0.25832,-0.19872694096379087,0.016836500774442875,0.7924392167899466,0.3550987451524237,13.461738,9.109843,buy
4,MU,Micron Technology,Information Technology,Semiconductors,1278839095296,0.8220180893159978,1.963,0.67624,0.41486,0.39823002,-0.1030078996276839,1.8305743033315518,8.445774018022135,-0.1661302056074042,53.464878,9.61384,strong_buy
5,AVGO,Broadcom,Information Technology,Semiconductors,1957030658048,0.7906129060312214,0.479,0.48988,0.38848,0.37280998,1.0759196582890276,0.1453202136040619,0.6629226249892206,0.2734653998477794,68.44426,21.220005,strong_buy
6,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4490912595968,0.7799430360481802,0.218,0.36121,0.37919,0.38884997,-0.19194623940185743,0.18439967570374716,1.0976408859186222,0.17608491545702942,28.093893,25.387682,strong_buy
7,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4483957391360,0.7733856589989998,0.218,0.36121,0.37919,0.38884997,-0.19194623940185743,0.18439032211885364,1.0792714615330352,0.16099297861153405,28.007622,25.348362,strong_buy
8,LLY,Lilly (Eli),Health Care,Pharmaceuticals,979640254464,0.7673674827151369,0.555,0.49386,0.34986,1.07459,1.0517188835490778,0.14023977033402923,0.3982373743203984,0.1093732393798088,39.067207,24.711899,buy
9,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,486522159104,0.7483204330999695,0.238,0.35042998,0.30938998,0.66762,-0.12952183978956744,0.8552059469408193,3.2323174919625624,-0.13699893937455443,73.542534,48.581417,buy
10,APH,Amphenol,Information Technology,Electronic Components,201709256704,0.6934176196895246,0.584,0.27305,0.17239,0.36825,1.7336041635206965,0.20327254154342378,0.7761737810925537,0.11782009328558418,47.114944,28.835789,buy
11,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",4376979046400,0.6782471626733921,0.166,0.32275,0.27152002,1.4147099,0.10129017754727493,0.11283718787437302,0.5293000852961509,0.05507798294186128,36.122425,31.040802,buy
12,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",28993417216,0.6681806322563812,0.212,0.22415,0.08442,0.60914004,1.4487413723101907,0.10987510985288962,0.7562639769850703,0.14615804878048788,43.617023,18.537226,buy
13,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,162837331968,0.6578434143583947,0.168,0.76811,0.16106,0.2356,,0.332323127524742,0.8531365398430824,-0.08049239583333334,41.201717,33.36902,buy
